date,BDSpread_long,BDSpread_short,mktrf,smb,hml,rf,umd,TDRETADJ1,TDRETADJ2,TDRETADJ5,TDRETADJ7,TDRETADJ10,TDRETADJ20,TDRETADJ30
2008-05-13,0.00038776029794521767,0.00030301710144373995,0.0009,0.0067,-0.0004,8e-05,0.0076,-0.140404325,-0.29637628,-0.7219286859999999,-0.811333506,-0.85334901,-1.3716050780000002,-1.685688129
2008-05-14,0.00038725733809264243,0.0003031763701793475,0.0038,-0.0043,0.0017,8e-05,-0.0094,-0.01094306,-0.069263048,-0.12574023199999998,-0.048460249000000004,0.081410615,0.277585965,0.41592173200000004
2008-05-15,0.00038441426794993304,0.0003027205215740917,0.0102,-0.0008,-0.003,8e-05,-0.0043,0.10347297800000001,0.217719205,0.446187061,0.573344679,0.6803776640000001,0.8452304959999999,1.073208126
2008-05-16,0.00038537488121677236,0.000302936203126788,0.001,-0.004,0.0003,8e-05,0.0092,-0.018552876,-0.100793627,-0.03614346,-0.199408628,-0.256721968,-0.247908789,-0.401237966
2008-05-19,0.00034113904045192237,0.00030275430112516085,-0.0002,-0.0028,0.0025,8e-05,0.0021,0.06627256599999999,0.12538448,0.135669908,0.122631175,0.17326135199999998,0.09510886,0.068780015
2008-05-20,0.0003394107235872161,0.0003024137592682227,-0.008,0.0062,-0.0017,8e-05,0.0123,0.072851542,0.176753348,0.36008162299999996,0.416435314,0.42345789799999994,0.591596008,0.698373734
2008-05-21,0.00034007375452050964,0.0003028222894099784,-0.0156,0.0046,0.0018,8e-05,0.0103,-0.056584294,-0.190439606,-0.309278691,-0.18377270699999998,-0.23399842699999998,-0.10995225900000001,-0.146262981
2008-05-22,0.0003433419861801431,0.00030331180103573786,0.0038,0.0029,-0.0004,8e-05,-0.0062,-0.064231392,-0.235812902,-0.630078205,-0.738725235,-0.7384071740000001,-1.0692618459999998,-1.288999561
2008-05-23,0.0003413459047864243,0.000302936203126788,-0.0124,0.0015,-0.0037,8e-05,0.0083,0.065266583,0.207273536,0.408165985,0.46386726799999994,0.514085166,0.636679949,0.864371569
2008-05-26,,,,,,,,,,,,,,
2008-05-27,0.00034400705823985496,0.0003032781819238662,0.0072,0.0058,-0.0022,8e-05,-0.0021,-0.013243453999999998,-0.118103814,-0.358389636,-0.497996902,-0.501193317,-0.882657653,-1.114421273
2008-05-28,0.0003463539320572989,0.00030377016175400675,0.0049,-0.0006,-0.0007,8e-05,0.0073,-0.07947125099999999,-0.221134876,-0.541849281,-0.5934279579999999,-0.600383785,-0.722515789,-0.7612388109999999
2008-05-29,0.00034870398225642205,0.00030396495958467116,0.0061,0.003,-0.0025,8e-05,-0.0109,-0.01855804,-0.086096553,-0.37536708,-0.38421513399999996,-0.504105966,-0.839668375,-0.945729849
2008-05-30,0.00034787527031474665,0.00030322120584582536,0.0029,0.0026,0.0,8e-05,0.0044,0.020132484,0.07208199,0.10251411699999999,0.117732115,0.12927229199999998,0.323955167,0.455307932
2008-06-02,0.0003452553643436711,0.0003026960910630783,-0.0098,0.0016,0.0024,8e-05,0.0071,0.127358076,0.29139437100000004,0.677914883,0.91656812,0.743869916,0.75783209,0.870078345
2008-06-03,0.0003432917348352592,0.00030236692195695933,-0.0046,0.0028,0.0002,8e-05,-0.0021,0.051013535,0.191957378,0.39320446600000003,0.539300321,0.471013099,0.613512925,0.805317335
2008-06-04,0.0003458498236993791,0.00030266406898995753,0.0002,0.0069,-0.0074,8e-05,-0.0006,-0.078288914,-0.09318814199999999,-0.311271896,-0.28958821,-0.576972319,-0.929669723,-1.22363807
2008-06-05,0.00034762493248211755,0.0003028465442844258,0.0195,0.0031,-0.0009,8e-05,0.0045,-0.025077071,-0.070771639,-0.266257006,-0.425984742,-0.43638376700000003,-0.616416967,-0.588772079
2008-06-06,0.0003435505764388552,0.00030242573528457264,-0.029,0.0016,-0.0003,8e-05,0.018,0.081489727,0.221929942,0.68596364,0.857916076,0.885054165,1.379945514,1.8270754219999998
2008-06-09,0.00034539332177309525,0.0003037393941598983,-0.0003,-0.0053,-0.0022,8e-05,0.0204,-0.204493623,-0.58648639,-0.9023030459999999,-0.8375771879999999,-0.6089027770000001,-0.279255827,-0.075328172
