date,BDSpread_short,M6M3,SPY_DIFF,TEDRATE,Y2Y1,crisis,leverage,meltdown,risk,credit cycle,debt fund,interest expense,TB3MS,USROE,PCE,INDPRO,CPIAUCSL,GDP,10-year issuance,Fiscal Policy,National security,Sovereign debt,y_lag1,market regime_cs,vix_new1
2005-09-29,0.39235953120233447,0.5315783441565696,0.6606003994887617,0.23120254637580673,0.5078840408960127,0.7660511340837368,0.5442829407381509,0.5547121610899738,0.7970256406216053,0.517013684820916,0.4807493634340973,0.5075677078915444,0.36301603201761035,0.3351779533981777,0.7697694406139437,0.4349407687187972,1.0,0.9411048624255518,0.3422968236979634,0.27465021932745315,0.4238644649813965,0.39949998423614264,0.19633943427620643,0,-0.5425643120788025
2005-09-30,0.40248760693161245,0.5562240907002786,0.6648810200032115,0.2350418424404797,0.5171497453855096,0.7660511340837368,0.46481048042854023,0.45374942086339104,0.7787792511947143,0.517013684820916,0.4807493634340973,0.5075677078915444,0.36301603201761035,0.3351779533981777,0.7697694406139437,0.4349407687187972,1.0,0.9411048624255518,0.3422968236979634,0.27465021932745315,0.4238644649813965,0.39949998423614264,0.19800332778702173,0,-0.5722490237889976
2005-10-01,0.40248760693161245,0.5562240907002786,0.6648810200032115,0.2350418424404797,0.5171497453855096,0.7660511340837368,0.46481048042854023,0.45374942086339104,0.7787792511947143,0.517013684820916,0.4807493634340973,0.5075677078915444,0.56404923823422,0.3313625765890913,0.7144572995147368,0.9698313304922467,0.6143227693383918,0.849528304198448,0.05067476957338268,0.26758163596043616,0.3696415724934383,0.4507285985592152,0.19800332778702173,0,-0.5722490237889976
2005-10-02,0.40248760693161245,0.5562240907002786,0.6648810200032115,0.2350418424404797,0.5171497453855096,0.7660511340837368,0.46481048042854023,0.45374942086339104,0.7787792511947143,0.517013684820916,0.4807493634340973,0.5075677078915444,0.56404923823422,0.3313625765890913,0.7144572995147368,0.9698313304922467,0.6143227693383918,0.849528304198448,0.05067476957338268,0.26758163596043616,0.3696415724934383,0.4507285985592152,0.19800332778702173,0,-0.5722490237889976
2005-10-03,0.4027573342672578,0.5803397798824009,0.6654587971770333,0.21163648206984687,0.47000478783260513,0.7609789533806011,0.0,0.48940757142732194,0.8154568164308099,0.517013684820916,0.4807493634340973,0.5075677078915444,0.56404923823422,0.3313625765890913,0.7144572995147368,0.9698313304922467,0.6143227693383918,0.849528304198448,0.05067476957338268,0.26758163596043616,0.3696415724934383,0.4507285985592152,0.19633943427620643,0,-0.5559663411218414
2005-10-04,0.4027786992396579,0.5643204170469056,0.6561394334462888,0.21163648206984687,0.479599943856832,0.7847612155180197,0.24561499849771903,0.48940757142732194,0.8075103748597681,0.517013684820916,0.4807493634340973,0.5075677078915444,0.56404923823422,0.3313625765890913,0.7144572995147368,0.9698313304922467,0.6143227693383918,0.849528304198448,0.05067476957338268,0.26758163596043616,0.3696415724934383,0.4507285985592152,0.19800332778702173,0,-0.522947771129329
2005-10-05,0.4025809977635726,0.5882644512225618,0.6355017526134572,0.2350418424404797,0.48911055996284486,0.7609789533806011,0.4072931441077915,0.4681852010589305,0.8095320204510225,0.517013684820916,0.4807493634340973,0.5075677078915444,0.56404923823422,0.3313625765890913,0.7144572995147368,0.9698313304922467,0.6143227693383918,0.849528304198448,0.05067476957338268,0.26758163596043616,0.3696415724934383,0.4507285985592152,0.19966722129783698,0,-0.44647184773244825
2005-10-06,0.40269502253095546,0.5643204170469059,0.6121406502964041,0.23120254637580673,0.479599943856832,0.7474810909488941,0.45479682847077696,0.41299891718058446,0.8173868065122959,0.517013684820916,0.4807493634340973,0.5075677078915444,0.56404923823422,0.3313625765890913,0.7144572995147368,0.9698313304922467,0.6143227693383918,0.849528304198448,0.05067476957338268,0.26758163596043616,0.3696415724934383,0.4507285985592152,0.19633943427620643,0,-0.3879031777489836
2005-10-07,0.40251847512514505,0.5480688814630156,0.5936896605895304,0.22733902746283235,0.47000478783260513,0.7583761171653409,0.46481048042854023,0.4770564667170678,0.7835273959409771,0.517013684820916,0.4807493634340973,0.5075677078915444,0.56404923823422,0.3313625765890913,0.7144572995147368,0.9698313304922467,0.6143227693383918,0.849528304198448,0.05067476957338268,0.26758163596043616,0.3696415724934383,0.4507285985592152,0.19966722129783715,0,-0.39111228453811486
2005-10-08,0.40251847512514505,0.5480688814630156,0.5936896605895304,0.22733902746283235,0.47000478783260513,0.7583761171653409,0.46481048042854023,0.4770564667170678,0.7835273959409771,0.517013684820916,0.4807493634340973,0.5075677078915444,0.56404923823422,0.3313625765890913,0.7144572995147368,0.9698313304922467,0.6143227693383918,0.849528304198448,0.05067476957338268,0.26758163596043616,0.3696415724934383,0.4507285985592152,0.19966722129783715,0,-0.39111228453811486
