Date,GDP,CSUSHPINSA,CPIAUCSL,GDPC1,INDPRO,PAYNSA,PCE,PSAVERT,RECPROUSM156N,TERMCBAUTO48NS,TOTBKCR,TOTCI,TOTLL,UNRATE,USROE,WM1NS,WM2NS,TB3MS,STLFSI
2016-04-01,18640.732,178.55900000000003,238.827,17622.486,101.7479,143909.0,12646.1,7.0,0.6,,,,,,,,,,
2016-07-01,18799.648,183.123,240.15,17706.705,102.1435,144248.0,12790.1,6.4,0.1,,,,,,,,,,
2016-10-01,18979.245,184.15200000000002,241.691,17784.185,102.0557,146049.0,12944.5,6.4,0.2,,,,,,,,,,
2017-01-01,19162.55,184.805,243.78,17863.023,102.5393,143393.0,13098.6,6.7,0.2,,,,,,,,,,
2017-04-01,19359.123,188.705,244.051,17995.15,103.7148,146103.0,13204.0,6.7,0.0,,,,,,,,,,
2017-07-01,19588.074,193.72099999999998,244.39,18120.843,103.6206,146481.0,13292.1,6.7,0.1,,,,,,,,,,
2017-10-01,19831.829,195.328,246.587,18223.758,104.7647,148200.0,13505.5,6.5,0.0,,,,,,,,,,
2018-01-01,20041.047,196.389,248.884,18323.963,105.4371,145428.0,13662.6,7.0,0.5,,,,,,,,,,
2018-04-01,20411.924,200.94,249.956,18511.576,107.6624,148383.0,13805.2,6.8,0.1,,,,,,,,,,
2018-07-01,20658.204,205.296,251.597,18664.973,107.8948,148948.0,14008.4,6.3,0.0,,,,,,,,,,
